,ID,Followers,following,sn_len,ds_len,tweet_count,retweet_count,label,reputation,AgeOfAccount,TweetPerDay
8927,1.3689236828491E+018,2273,1693,10,147,29621,0,0,0.573121533030762,3007,8.72488954344624
8928,1.36892368107892E+018,139,530,10,26,9965,1308,0,0.207772795216741,1104,2.93519882179676
8929,1.36892368034912E+018,548,2313,12,84,11101,39,0,0.191541419084236,3823,3.26980854197349
8930,1.36892367981662E+018,937,561,9,0,1216,16,0,0.625500667556742,4161,0.358173784977909
8931,1.3689236794056E+018,216,183,15,52,4059,0,0,0.541353383458647,2739,1.19558173784978
8932,1.36892367868836E+018,54,254,15,0,9287,6041,0,0.175324675324675,1972,2.73549337260677
8933,1.36892367809697E+018,40,128,13,85,397,5,0,0.238095238095238,492,0.116936671575847
8934,1.36892367427169E+018,2463,916,8,114,10186,1,0,0.728913879846108,3615,3.00029455081001
8935,1.36892367417104E+018,77,160,13,0,24292,310,0,0.324894514767932,2522,7.15522827687776
8936,1.36892367384807E+018,78421,444,8,72,15491,1,0,0.994370126164965,4224,4.56288659793814
8937,1.36892367357969E+018,522,579,13,76,58040,1,0,0.474114441416894,1007,17.0957290132548
8938,1.36892367061851E+018,64,247,7,44,2140,285,0,0.205787781350482,3106,0.630338733431517
8939,1.36892367030387E+018,454,576,11,109,22962,945,0,0.440776699029126,2447,6.76347569955817
8940,1.36892366913366E+018,331,192,7,0,57714,676,0,0.632887189292543,757,16.99970544919
8941,1.36892366863461E+018,17,25,12,0,21290,0,0,0.404761904761905,1316,6.27098674521355
8942,1.3689236675734E+018,3098,4394,15,133,608778,3,0,0.41350774159103,1905,179.316053019146
8943,1.36892366673039E+018,14470,8591,5,129,7719,0,0,0.627466285070032,3417,2.27363770250368
8944,1.36892366571531E+018,1064,381,8,86,1875,0,0,0.736332179930796,2718,0.552282768777614
8945,1.36892366461209E+018,4340,279,15,140,13807,0,0,0.939597315436242,4408,4.06686303387334
8946,1.36892366411314E+018,1447,2420,6,30,136430,1632,0,0.374191880010344,4155,40.1855670103093
8947,1.36892366270372E+018,5351,413,9,72,126056,7,0,0.928348369188064,2632,37.1298969072165
8948,1.36892366136588E+018,800,1371,15,113,87842,27,0,0.368493781667434,2938,25.8739322533137
8949,1.36892366050181E+018,1460,1109,9,96,2301,13,0,0.568314519268198,3365,0.677761413843888
8950,1.3689236602626E+018,8,96,15,9,1060,14,0,0.076923076923077,226,0.312223858615611
8951,1.36892365822011E+018,13623,14052,13,0,435177,0,0,0.492249322493225,3247,128.181737849779
8952,1.36892365624044E+018,460,1885,11,0,12372,21,0,0.196162046908316,3965,3.64418262150221
8953,1.36892365587553E+018,734,472,12,39,38991,3,0,0.608623548922056,3691,11.4848306332842
8954,1.36892365478911E+018,45,104,15,122,1026,1,1,0.302013422818792,1892,0.30220913107511
8955,1.36892365156799E+018,1277,1372,12,94,1841,0,0,0.482068705171763,2930,0.542268041237113
8956,1.36892365102694E+018,2540,2341,15,153,5834,6,0,0.520385166973981,1996,1.71840942562592
8957,1.36892365035158E+018,2069,1605,12,67,354468,66,0,0.563146434403919,2845,104.4088365243
8958,1.36892364930715E+018,93,1143,12,28,41780,44,0,0.075242718446602,149,12.3063328424153
8959,1.36892364872834E+018,3302,3552,14,154,116083,1,0,0.481762474467464,3767,34.1923416789396
